Valuador,Muestra,NombreProducto,CodigoProducto
V27,6,141_1,448
V27,7,134_1,984
V27,8,140_2,977
V28,5,134_2,958
V28,3,145_2,333
V28,2,139_2,261
V28,6,141_1,448
V28,1,137_1,125
V28,8,140_2,977
V28,4,142_2,161
V28,7,134_1,984
V29,3,145_2,333
V29,6,141_1,448
V29,5,134_2,958
V29,8,140_2,977
V29,2,139_2,261
V29,7,134_1,984
V29,1,137_1,125
V29,4,142_2,161
V30,6,141_1,448
V30,8,140_2,977
V30,3,145_2,333
V30,7,134_1,984
V30,5,134_2,958
V30,4,142_2,161
V30,2,139_2,261
V30,1,137_1,125
V31,8,140_2,977
V31,7,134_1,984
V31,6,141_1,448
V31,4,142_2,161
V31,3,145_2,333
V31,1,137_1,125
V31,5,134_2,958
V31,2,139_2,261
V32,7,134_1,984
V32,4,142_2,161
V32,8,140_2,977
V32,1,137_1,125
V32,6,141_1,448
V32,2,139_2,261
V32,3,145_2,333
V32,5,134_2,958
