Valuador,Muestra,NombreProducto,CodigoProducto
V31,4,145_1,220
V31,3,138_1,589
V31,1,143_1,364
V31,5,137_2,939
V31,2,143_2,897
V32,7,141_2,290
V32,4,145_1,220
V32,8,138_2,891
V32,1,143_1,364
V32,6,135_2,966
V32,2,143_2,897
V32,3,138_1,589
V32,5,137_2,939
